,county,district_num,dist_name,dist_type,school_num,school_name,instruct_type,charter_type,aea,magnet_status,school_enrollment,zipcode,school_type,pcent_econ_disadv,pcent_esl,rating,X,Y
428,bexar_county,15825,lighthouse_public_schools,charter,15825101,lighthouse_el,regular_instructional,open_enrollment_charter,n,n,254,78227,elementary,93.3,26.1,not_rated,-98.6484825,29.41173555
429,bexar_county,15825,lighthouse_public_schools,charter,15825002,lighthouse_high,regular_instructional,open_enrollment_charter,n,n,82,78227,high_school,90.9,29.1,not_rated_senate_bill_1365,-98.6484825,29.41173555
430,bexar_county,15825,lighthouse_public_schools,charter,15825001,lighthouse_middle,regular_instructional,open_enrollment_charter,n,n,86,78227,elementary,89.0,29.2,not_rated_senate_bill_1365,-98.6484825,29.41173555
431,bexar_county,15915,northside_isd,independent,15915131,linton_el,regular_instructional,,n,n,449,78238,elementary,90.2,1.5,c,-98.60999421,29.45707692
432,bexar_county,15915,northside_isd,independent,15915109,locke_hill_el,regular_instructional,,n,n,522,78249,elementary,56.9,6.3,c,-98.58337691,29.56600768
433,bexar_county,15905,edgewood_isd,independent,15905112,loma_park_el,regular_instructional,,n,n,586,78228,elementary,97.8,32.3,c,-98.57319306,29.44273938
434,comal_county,46901,new_braunfels_isd,independent,46901102,lone_star_early_childhood_center,regular_instructional,,n,n,295,78130,elementary,75.0,20.1,a,-98.14435182,29.68540338
435,bexar_county,15907,san_antonio_isd,independent,15907050,longfellow_middle,regular_instructional,,n,n,646,78228,middle_school,91.6,23.0,c,-98.56384119,29.47343099
436,bexar_county,15910,north_east_isd,independent,15910134,longs_creek_el,regular_instructional,,n,n,591,78247,elementary,58.0,4.9,b,-98.39676934,29.5891242
437,bexar_county,15910,north_east_isd,independent,15910057,lopez_middle,regular_instructional,,n,n,1361,78258,middle_school,39.5,17.7,a,-98.49632893,29.65675506
438,bexar_county,15915,northside_isd,independent,15915236,los_reyes_el,regular_instructional,,n,n,504,78023,elementary,16.9,12.8,a,-98.70327022,29.59971916
439,bexar_county,15917,southside_isd,independent,15917043,losoya_middle,regular_instructional,,n,n,651,78221,middle_school,88.6,20.9,b,-98.47084414,29.24075944
440,bexar_county,15907,san_antonio_isd,independent,15907051,lowell_middle,regular_instructional,,n,n,289,78226,middle_school,96.4,22.0,c,-98.53818286,29.39506837
441,medina_county,163908,medina_valley_isd,independent,163908106,luckey_ranch_el,regular_instructional,,n,n,866,78252,elementary,58.5,8.9,a,-98.73096871,29.36362996
442,caldwell_county,28903,luling_isd,independent,28903001,luling_h_s,regular_instructional,,n,n,407,78648,high_school,72.1,17.6,b,-97.65402226,29.67812957
443,bexar_county,15915,northside_isd,independent,15915054,luna_middle,regular_instructional,,n,n,1229,78253,middle_school,44.1,5.5,c,-98.73870199,29.43395647
444,atascosa_county,7904,lytle_isd,independent,7904002,lytle_daep,daep_instructional,,n,n,10,78052,elem/secondary,83.3,16.7,not_rated,-98.80262234,29.23319415
445,atascosa_county,7904,lytle_isd,independent,7904101,lytle_el,regular_instructional,,n,n,541,78052,elementary,75.4,16.0,c,-98.79940498,29.23735999
446,atascosa_county,7904,lytle_isd,independent,7904001,lytle_h_s,regular_instructional,,n,n,487,78052,high_school,69.5,11.1,b,-98.80476998,29.24813001
447,atascosa_county,7904,lytle_isd,independent,7904041,lytle_j_h,regular_instructional,,n,n,398,78052,middle_school,73.9,15.9,c,-98.80476998,29.24813001
